iter	RMSE
0	271.1007394
1	254.0618305
2	238.1543732
3	223.3660723
4	209.2607497
5	195.9940261
6	184.1510112
7	172.8816434
8	162.2052007
9	152.094195
10	142.6902941
11	133.9460787
12	125.5860792
13	117.7778391
14	110.5734528
15	103.8643773
16	97.7164125
17	91.83453452
18	86.50276986
19	81.37462621
20	76.45683998
21	71.88594327
22	67.59609655
23	63.60609824
24	59.87992046
25	56.47186897
26	53.36164321
27	50.39226828
28	47.58493199
29	44.87881698
30	42.45318003
31	40.10222137
32	38.00135508
33	35.96883068
34	34.04275721
35	32.2737423
36	30.62809532
37	29.09753095
38	27.68220127
39	26.32684182
40	25.07235332
41	23.95166514
42	22.91590902
43	21.89285383
44	20.9865698
45	20.15448493
46	19.36744219
47	18.58792764
48	17.91200077
49	17.30568376
50	16.72006013
51	16.21646243
52	15.6818753
53	15.25342011
54	14.81920097
55	14.43751115
56	14.02717802
57	13.69110822
58	13.36314186
59	13.06909243
60	12.78329214
61	12.52082006
62	12.28310831
63	12.09167357
64	11.90536782
65	11.69753583
66	11.5000485
67	11.30944817
68	11.13049289
69	10.96636357
70	10.84667891
71	10.68883716
72	10.56622122
73	10.45756353
74	10.32492717
75	10.22066179
76	10.1285942
77	10.00911421
78	9.908862615
79	9.78836825
80	9.696325055
81	9.633324956
82	9.543641998
83	9.467127323
84	9.355778511
85	9.285318417
86	9.196215718
87	9.14198754
88	9.054487901
89	8.974895742
90	8.899085624
91	8.840109341
92	8.791647925
93	8.73421726
94	8.68033035
95	8.620977712
96	8.54219807
97	8.496785033
98	8.454624247
99	8.418050695
100	8.34347196
101	8.292060549
102	8.234663389
103	8.194699812
104	8.136428859
105	8.070756306
106	8.029103104
107	7.975324165
108	7.926789512
109	7.885552548
110	7.843005761
111	7.808903983
112	7.76608566
113	7.733433705
114	7.692884211
115	7.660670595
116	7.633381151
117	7.614455601
118	7.580079819
119	7.533934966
120	7.519471162
121	7.483552271
122	7.452645716
123	7.43249034
124	7.401258506
125	7.364779145
126	7.331089425
127	7.296762744
128	7.270678001
129	7.24143207
130	7.214364195
131	7.174793409
132	7.156374537
133	7.129740632
134	7.10230608
135	7.066788593
136	7.046347062
137	7.020677163
138	6.996519549
139	6.978938104
140	6.952044296
141	6.931945389
142	6.903690644
143	6.880490978
144	6.848507666
145	6.829713641
146	6.802637477
147	6.773385995
148	6.744013732
149	6.714710852
150	6.693332858
151	6.673288271
152	6.652354682
153	6.637860801
154	6.612383707
155	6.592409358
156	6.564437786
157	6.542592897
158	6.519464154
159	6.4978281
160	6.476462644
161	6.457943253
162	6.440383219
163	6.431857244
164	6.41481746
165	6.389763537
166	6.372948929
167	6.351983609
168	6.337463515
169	6.320770715
170	6.299095336
171	6.276271348
172	6.262807884
173	6.238962396
174	6.223140609
175	6.20392218
176	6.18541962
177	6.174944513
178	6.163149831
179	6.145356096
180	6.136059607
181	6.120519245
182	6.101193449
183	6.08294778
184	6.06104342
185	6.04220896
186	6.022859806
187	6.007471401
188	5.993550462
189	5.971216263
190	5.955738985
191	5.942158359
192	5.931469512
193	5.912681318
194	5.892127313
195	5.87200641
196	5.858361726
197	5.843544109
198	5.831809612
199	5.81435664
200	5.798631062
201	5.784603708
202	5.771429079
203	5.758903665
204	5.746384562
205	5.731783005
206	5.719607031
207	5.70966694
208	5.695868718
209	5.683534888
210	5.671297503
211	5.658458388
212	5.644031326
213	5.634543132
214	5.624728269
215	5.61258864
216	5.60046041
217	5.590623259
218	5.57831843
219	5.572209995
220	5.562742634
221	5.551412186
222	5.538483455
223	5.530556649
224	5.522024116
