iter	Passed	Remaining
0	49	49931
1	52	26046
2	54	18056
3	56	14041
4	58	11642
5	60	10009
6	62	8829
7	64	7956
8	66	7268
9	67	6709
10	69	6246
11	71	5900
12	73	5565
13	74	5278
14	76	5042
15	78	4822
16	80	4627
17	81	4451
18	83	4297
19	84	4155
20	86	4021
21	87	3906
22	89	3797
23	91	3701
24	92	3608
25	94	3522
26	95	3442
27	97	3369
28	98	3298
29	100	3244
30	101	3187
31	103	3135
32	105	3085
33	106	3036
34	108	2989
35	109	2941
36	111	2897
37	112	2855
38	114	2815
39	115	2775
40	117	2739
41	118	2705
42	120	2680
43	122	2659
44	124	2646
45	126	2627
46	128	2609
47	130	2591
48	132	2572
49	134	2554
50	136	2530
51	137	2505
52	138	2481
53	140	2458
54	141	2436
55	143	2413
56	144	2392
57	146	2371
58	147	2352
59	149	2337
60	150	2324
61	152	2312
62	154	2300
63	156	2288
64	158	2275
65	159	2261
66	161	2245
67	162	2232
68	164	2221
69	167	2224
70	169	2220
71	171	2212
72	173	2202
73	175	2191
74	176	2181
75	178	2171
76	180	2162
77	182	2154
78	184	2150
79	186	2142
80	188	2135
81	189	2125
82	191	2117
83	193	2108
84	195	2101
85	197	2093
86	199	2089
87	201	2084
88	202	2076
89	204	2071
90	206	2064
91	208	2057
92	210	2049
93	211	2039
94	213	2030
95	214	2020
96	216	2011
97	217	2002
98	219	1993
99	220	1984
100	222	1977
101	223	1968
102	225	1960
103	226	1952
104	228	1944
105	229	1937
106	231	1930
107	232	1922
108	234	1915
109	235	1907
110	237	1901
111	238	1893
112	240	1886
113	241	1880
114	243	1873
115	245	1867
116	246	1862
117	248	1857
118	250	1854
119	252	1850
120	253	1844
121	255	1839
122	257	1833
123	258	1827
124	260	1822
125	262	1821
126	264	1818
127	266	1814
128	267	1808
129	269	1804
130	271	1798
131	272	1794
132	274	1789
133	276	1783
134	277	1779
135	279	1775
136	281	1771
137	282	1766
138	284	1761
139	286	1757
140	287	1753
141	289	1748
142	290	1743
143	292	1737
144	293	1733
145	295	1728
146	297	1723
147	298	1719
148	300	1713
149	301	1708
150	302	1703
151	304	1698
152	305	1693
153	307	1687
154	308	1683
155	310	1678
156	312	1678
157	314	1675
158	315	1671
159	317	1667
160	319	1663
161	320	1660
162	322	1657
163	324	1652
164	325	1648
165	327	1644
166	329	1641
167	330	1637
168	332	1633
169	333	1629
170	335	1624
171	336	1620
172	338	1615
173	339	1611
174	341	1608
175	342	1605
176	344	1603
177	346	1600
178	348	1597
179	350	1594
180	351	1590
181	353	1587
182	355	1585
183	356	1582
184	358	1579
185	360	1577
186	362	1575
187	364	1572
188	365	1569
189	367	1566
190	368	1562
191	370	1559
192	372	1556
193	373	1553
194	375	1550
195	377	1548
196	379	1545
197	380	1542
198	382	1539
199	384	1536
200	385	1534
201	387	1531
202	389	1527
203	390	1525
204	392	1523
205	394	1521
206	396	1518
207	397	1515
208	399	1512
209	401	1509
210	402	1505
211	404	1502
212	405	1499
213	407	1495
214	408	1491
215	410	1488
216	411	1484
217	412	1481
218	414	1477
219	415	1474
220	417	1471
221	418	1468
222	420	1464
223	422	1462
224	423	1458
225	425	1455
226	426	1452
227	428	1449
228	429	1446
229	431	1443
230	432	1440
231	434	1437
232	435	1434
233	437	1431
234	438	1427
235	440	1424
236	441	1421
237	443	1419
238	444	1416
239	446	1413
240	447	1410
241	449	1407
242	450	1403
243	452	1401
244	453	1398
245	455	1395
246	456	1392
247	458	1389
248	459	1386
249	461	1383
250	462	1380
251	464	1377
252	465	1375
253	467	1371
254	468	1369
255	470	1366
256	471	1364
257	473	1361
258	475	1359
259	476	1356
260	478	1353
261	479	1351
262	481	1348
263	482	1345
264	484	1342
265	485	1339
266	487	1337
267	488	1334
268	490	1331
269	491	1329
270	493	1326
271	494	1324
272	496	1321
273	497	1318
274	499	1315
275	500	1313
276	502	1310
277	503	1308
278	505	1305
279	506	1303
280	508	1300
281	509	1298
282	511	1295
283	512	1292
284	514	1290
285	515	1287
286	517	1284
287	518	1282
288	520	1279
289	521	1277
290	523	1274
291	524	1272
292	526	1269
293	527	1267
294	529	1264
295	530	1262
296	532	1259
297	534	1258
298	535	1255
299	537	1253
300	538	1251
301	540	1249
302	541	1246
303	543	1244
304	545	1242
305	546	1239
306	548	1237
307	549	1234
308	551	1232
309	552	1229
310	554	1227
311	555	1225
312	557	1223
313	559	1222
314	561	1220
315	562	1218
316	564	1216
317	566	1214
318	567	1212
319	569	1209
320	570	1207
321	572	1205
322	573	1202
323	575	1200
324	576	1197
325	578	1195
326	579	1193
327	581	1191
328	582	1188
329	584	1186
330	585	1183
331	587	1181
332	588	1179
333	590	1177
334	591	1175
335	593	1172
336	595	1170
337	596	1168
338	598	1166
339	599	1163
340	600	1161
341	602	1158
342	603	1156
343	605	1154
344	606	1152
345	608	1149
346	609	1147
347	611	1145
348	612	1142
349	614	1140
350	615	1138
351	616	1135
352	618	1133
353	619	1131
354	621	1129
355	623	1127
356	624	1125
357	626	1122
358	627	1120
359	629	1118
360	630	1116
361	631	1113
362	633	1111
363	634	1109
364	636	1107
365	637	1104
366	639	1102
367	640	1100
368	642	1098
369	643	1095
370	644	1093
371	646	1091
372	647	1089
373	649	1087
374	650	1084
375	652	1082
376	653	1080
377	655	1078
378	656	1076
379	658	1074
380	659	1072
381	661	1069
382	662	1067
383	664	1065
384	665	1063
385	667	1061
386	668	1059
387	670	1057
388	671	1055
389	673	1053
390	674	1051
391	676	1048
392	677	1046
393	679	1044
394	680	1042
395	682	1040
396	683	1038
397	685	1036
398	686	1034
399	688	1032
400	689	1030
401	691	1028
402	692	1026
403	694	1024
404	695	1021
405	697	1020
